karmn,Name,adopted_vsini_kms-1,adopted_err_kms-1,vsini_oc_kms-1,err_oc_kms-1,vsini_ni_kms-1,err_ni_kms-1,vsini_literature_kms-1,err_literature_kms-1,ref_literature,equatorial_velocity_kms-1,err_eq_velocity_kms-1
J08413+594,LP 090-018,< 2,-,2,-,2,-,2,0.2,Rein18,0.08,0
J08526+283,rho Cnc B,< 2,-,2,-,2,-,0.2,0.02,Rein18,-,-
J08536-034,LP 666-009,8.4,2.8,37.9931832539833,5.09860800950808,37.4766522951465,5.0439959520441,8.4,2.8,Rein18,11.21,1.12
J08599+729,LP 036-098,< 2,-,2,-,2,-,-,-,,0.08,0
J09003+218,LP 368-128,15.0794368394642,0.415805004414154,15.0794368394642,0.415805004414154,15.0975183009174,0.414995610014135,13,1.5,Rein18,14.18,1.42
J09005+465,GJ 1119,< 2,-,2,-,2,-,2,0.2,Rein18,1.33,0.02
J09028+680,LP 060-179,< 2,-,2,-,2,-,0.2,0.02,Rein18,-,-
J09033+056,NLTT 20861,8.64257720315524,0.374245457809394,8.64257720315524,0.374245457809394,8.65725635671902,0.374261831294217,7.1,1.5,Rein18,-,-
J09133+688,G 234-57A,< 2,-,2,-,2,-,2,0.2,Rein18,2.86,0.3
J09140+196,LP 427-016,< 2,-,2,-,2,-,2,0.2,Rein18,0.62,0.01
J09144+526,HD 79211,< 2,-,2.26167954451662,0.240653922552923,2.24309871750808,0.248159052646878,0.5,1.5,Rein18,1.73,0.03
J09161+018,RX J0916.1+0153,11.7628678852661,0.550086293841585,11.7628678852661,0.550086293841585,11.7726798053769,0.562899239681902,10,1.5,Rein18,11.37,0.43
J09163-186,LP 787-052,< 2,-,2,-,2,-,1,0.1,Rein18,-,-
J09307+003,GJ 1125,< 2,-,2,-,2,-,0.2,0.02,Rein18,-,-
J09360-216,GJ 357,< 2,-,2,-,2,-,0.2,0.02,Rein18,0.23,0
J09411+132,Ross 85,< 2,-,2,-,2,-,0.2,0.02,Rein18,-,-
J09423+559,GJ 363,< 2,-,2,-,2,-,0.2,0.02,Rein18,0.25,0
J09425+700,GJ 360,< 2,-,2,-,2,-,2.1,0.21,Rein18,1.19,0.02
J09428+700,GJ 362,< 2,-,2,-,2,-,1.1,0.11,Rein18,0.87,0.02
J09439+269,Ross 93,< 2,-,2,-,2,-,0.5,0.05,Rein18,1.35,0.02
J09447-182,GJ 1129,< 2,-,2,-,2,-,0.2,0.02,Rein18,-,-
J09449-123,G 161-071,30.3580641639764,1.11550589241753,30.3580641639764,1.11550589241753,30.3012851924825,1.1004625262418,35.3,3.1,Rein18,36.63,9.41
J09468+760,BD+76 3952,< 2,-,2,-,2,-,0.2,0.02,Rein18,0.53,0.01
J09511-123,BD-11 2741,< 2,-,2,-,2,-,0.2,0.02,Rein18,-,-
J09535+355,Wolf 327,< 2,-,2,-,2,-,-,-,,-,-
J09561+627,BD+63 869,< 2,-,2,-,2,-,1.9,0.19,Rein18,1.74,0.01
J09597+472,G 146-005,< 2,-,2,-,2,-,-,-,,0.12,0
J10023+480,BD+48 1829,< 2,-,2,-,2,-,0.2,0.02,Rein18,-,-
J10087+355,Wolf 346,< 2,-,2,-,2,-,-,-,,-,-
J10088+692,TYC 4384-1735-1,< 2,-,2,-,2,-,0.2,0.02,,0.77,0.01
J10122-037,AN Sex,< 2,-,2,-,2,-,1.5,0.15,Rein18,1.09,0.01
J10125+570,LP 092-048,< 2,-,2,-,2,-,0.2,0.02,Rein18,-,-
J10167-119,GJ 386,< 2,-,2,-,2,-,0.2,0.02,Rein18,-,-
J10182-204,NLTT 23956,< 2,-,51.7069777039065,8.57859689879551,51.9974434869123,8.61608957193048,-,-,,1.87,0.06
J10185-117,LP  729-54,< 2,-,2,-,2,-,0.2,0.02,Jeff18,-,-
J10196+198,AD Leo,3.06796010354256,0.606511547478165,3.06796010354256,0.606511547478165,3.06092659997222,0.613772375838063,3.3,0.03,MR14,9.69,0.03
J10238+438,LP 212-062,< 2,-,2,-,2,-,-,-,,0.21,0.01
